"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
19993207,"08/11/2022 07:27:09 PM","08/11/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor",,,,,"922-09126-0521","0521","09126","NO","CA0190005","TEMPLE",,,2
19986859,"08/05/2022 01:15:00 AM","08/05/2022","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","5500 GROSUENOR BLVD, LOS ANGELES, CA 90066","5500 GROSUENOR BLVD","LOS ANGELES","90066","922-01745-2762","2762","01745","NO","CA0190065","MARINA DEL REY",-118.411,33.981,1
19996253,"08/15/2022 04:19:00 AM","08/15/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","20700 SAN JOSE HILLS RD, WALNUT, CA 91789","20700 SAN JOSE HILLS RD","WALNUT","91789","922-05854-2911","2911","05854","NO","CA0190020","WALNUT",-117.85,34.044,2
20006840,"08/26/2022 10:13:00 AM","08/26/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","ROSEMEAD BLVD AND RUSH ST, SOUTH EL MONTE, CA 91733","ROSEMEAD BLVD AND RUSH ST","SOUTH EL MONTE","91733","922-09723-0560","0560","09723","NO","CA0190005","TEMPLE",-118.064,34.051,2
20010198,"08/28/2022 09:00:00 AM","08/30/2022","NON-AGGRAVATED ASSAULTS","144","ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.","11700 S ALAMEDA ST, LYNWOOD, CA 90262","11700 S ALAMEDA ST","LYNWOOD","90262","922-01686-5700","5700","01686","NO","CA0190053","CRDF",-118.226,33.927,2
20011799,"08/31/2022 07:52:30 PM","08/31/2022","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","2300 ROYAL OAKS DR, DUARTE, CA 91010","2300 ROYAL OAKS DR","DUARTE","91010","922-09955-0542","0542","09955","NO","CA0190005","TEMPLE",-117.955,34.143,1
20005869,"08/23/2022 04:45:00 PM","08/25/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","200 LOS CERRITOS CTR, CERRITOS, CA 90703","200 LOS CERRITOS CTR","CERRITOS","90703","922-03433-2311","2311","03433","NO","CA01900R7","CERRITOS",-118.092,33.862,2
20001291,"08/20/2022 07:32:00 PM","08/20/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","5900 DEL AMO BLVD, LAKEWOOD, CA 90713","5900 DEL AMO BLVD","LAKEWOOD","90713","922-16493-1324","1324","16493","NO","CA0190013","LAKEWOOD",-118.115,33.846,2
20005472,"08/25/2022 02:22:10 AM","08/25/2022","NON-AGGRAVATED ASSAULTS","146","ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE","1100 AGUSTA, LOS ANGELES, CA","1100 AGUSTA","LOS ANGELES",,"022-12704-0279","0279","12704","NO","CA0190002","EAST LOS ANGELES",-118.177,34.019,2
19985456,"08/04/2022 06:04:56 AM","08/04/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","200 E REDONDO BEACH BLVD, GARDENA, CA","200 E REDONDO BEACH BLVD","GARDENA",,"922-10199-2871","2871","10199","NO","CA0190042","COMPTON",-118.278,33.892,2
19988287,"08/06/2022 11:08:00 PM","08/06/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","SANTA MONICA BLVD AND CURSON AVE, WEST HOLLYWOOD, CA 90069","SANTA MONICA BLVD AND CURSON AVE","WEST HOLLYWOOD","90069","922-04962-0974","0974","04962","NO","CA0190009","WEST HOLLYWOOD",-118.355,34.09,2
19994931,"08/10/2022 02:30:00 PM","08/13/2022","BURGLARY","067","BURGLARY, RESIDENCE: Unknown, Entry By Force","5300 CLOVERLY AVE, TEMPLE CITY, CA 91780","5300 CLOVERLY AVE","TEMPLE CITY","91780","922-09215-0524","0524","09215","NO","CA0190005","TEMPLE",-118.061,34.096,1
19995636,"08/15/2022 12:30:00 AM","08/15/2022","NON-AGGRAVATED ASSAULTS","144","ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.","17100 CREST HEIGHTS DR, CANYON COUNTRY, CA","17100 CREST HEIGHTS DR","CANYON COUNTRY",,"922-11423-0631","0631","11423","NO","CA0190006","SANTA CLARITA VALLEY",-118.435,34.429,2
19992361,"08/10/2022 05:00:00 PM","08/10/2022","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","4600 LIVE OAK ST, CUDAHY, CA 90201","4600 LIVE OAK ST","CUDAHY","90201","922-11912-0262","0262","11912","NO","CA0190002","EAST LOS ANGELES",-118.184,33.967,1
19986918,"08/05/2022 02:38:00 PM","08/05/2022","ROBBERY","042","ROBBERY, STRONG-ARM: Store, Business, Hotel, Motel, Etc.","3800 CROSSCREEK RD, MALIBU, CA","3800 CROSSCREEK RD","MALIBU",,"922-04362-1015","1015","04362","NO","CA0190022","MALIBU/LOST HILLS",-118.685,34.036,1
20005744,"08/25/2022 01:00:00 AM","08/25/2022","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","6700 S SPRINGPARK AVE, LOS ANGELES, CA 90056","6700 S SPRINGPARK AVE","LOS ANGELES","90056","922-01901-2766","2766","01901","NO","CA0190065","MARINA DEL REY",-118.374,33.978,1
20000233,"08/15/2022 01:00:00 PM","08/19/2022","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","4100 55TH ST, MAYWOOD, CA 90270","4100 55TH ST","MAYWOOD","90270","922-12392-0250","0250","12392","NO","CA0190002","EAST LOS ANGELES",-118.19,33.991,1
19994405,"08/13/2022 05:02:58 AM","08/13/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","5600 WHITTIER, LOS ANGELES, CA","5600 WHITTIER","LOS ANGELES",,"922-12038-0286","0286","12038","NO","CA0190002","EAST LOS ANGELES",-118.149,34.018,2
19992559,"07/29/2022 10:57:00 PM","08/11/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","CHIMES TOWER RD AND CHIMES TOWER, AVALON, CA 90704","CHIMES TOWER RD AND CHIMES TOWER","AVALON","90704","922-00272-1811","1811","00272","NO","CA0190018","AVALON",-118.334,33.347,2
19996113,"08/14/2022 07:30:00 PM","08/15/2022","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","27600 THE OLD RD, VALENCIA, CA 91355","27600 THE OLD RD","VALENCIA","91355","922-11440-0664","0664","11440","NO","CA0190006","SANTA CLARITA VALLEY",-118.584,34.422,1
19990864,"08/05/2022 06:00:00 AM","08/09/2022","GRAND THEFT AUTO","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","18600 S SUSANA RD, RANCHO DOMINGUEZ, CA","18600 S SUSANA RD","RANCHO DOMINGUEZ",,"922-07995-1692","1692","07995","NO","CA0190016","CARSON",-118.203,33.86,1
19990114,"08/08/2022 04:58:36 PM","08/08/2022","FRAUD AND NSF CHECKS","117","IDENTITY THEFT (GOODS/SERVICES/CREDIT)","900 S DUNCAN, LOS ANGELES, CA","900 S DUNCAN","LOS ANGELES",,"922-11762-0283","0283","11762","NO","CA0190002","EAST LOS ANGELES",-118.17,34.021,2
19991587,"08/10/2022 07:20:00 AM","08/10/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","SOUTHBOUND LAS VIRGENES RD AND OAK GLEN ST, CALABASAS, CA","SOUTHBOUND LAS VIRGENES RD AND OAK GLEN ST","CALABASAS",,"922-04474-2242","2242","04474","NO","CA0190022","MALIBU/LOST HILLS",-118.7,34.139,2
19989303,"08/07/2022 06:45:00 PM","08/08/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor","4900 60TH PL, MAYWOOD, CA","4900 60TH PL","MAYWOOD",,"922-11718-0251","0251","11718","NO","CA0190002","EAST LOS ANGELES",-118.175,33.983,2
20002651,"08/22/2022 01:29:00 PM","08/22/2022","LARCENY THEFT","083","GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)","8200 GARVEY AVE, ROSEMEAD, CA 91770","8200 GARVEY AVE","ROSEMEAD","91770","922-09564-0533","0533","09564","NO","CA0190005","TEMPLE",-118.089,34.063,1
20001700,"08/21/2022 01:41:33 PM","08/21/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor",,,,,"922-11778-0644","0644","11778","NO","CA0190006","SANTA CLARITA VALLEY",,,2
20003108,"08/23/2022 04:53:00 AM","08/23/2022","BURGLARY","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","1900 DURFEE AVE, SOUTH EL MONTE, CA 91733","1900 DURFEE AVE","SOUTH EL MONTE","91733","922-09586-0562","0562","09586","NO","CA0190005","TEMPLE",-118.03,34.044,1
